Unique ID,Lap_Time_Seconds
288307,89.934
704288,104.077
951491,86.25
2591721,109.791
1202653,99.345
267368,100.547
2402464,78.264
2705278,103.094
1719216,84.448
442612,108.387
604554,86.856
2471256,91.058
2329256,102.498
999587,76.671
779029,103.503
1631311,98.284
2604629,79.18
2496538,89.237
62637,97.989
2303311,83.794
2669855,88.786
1788966,94.536
2264373,82.068
1493143,78.187
1979185,101.245
674782,107.552
1034368,79.026
2134971,97.703
2073535,91.459
2064814,89.455
107052,97.413
611324,101.342
1761705,106.053
2411510,98.837
1682812,76.655
2460703,108.609
1678567,70.435
1464924,77.502
854071,91.296
1676495,85.941
1574620,92.533
1926481,92.993
757586,83.924
421430,94.664
742662,76.541
2007025,78.304
821834,99.2
571833,105.063
1736879,92.941
2708460,86.592
2341815,74.756
823336,109.17
557990,81.971
1508621,78.704
2605203,95.106
71523,86.907
348272,78.062
123001,89.361
335075,79.2
1576009,102.743
9170,105.102
902540,80.991
593509,83.945
823745,80.082
541478,94.781
413037,75.017
794805,72.111
2014275,107.049
625606,101.613
2002014,107.108
1821013,71.137
1409052,91.3
871985,109.918
124958,101.792
1778498,105.355
60726,89.957
393136,90.911
1291494,84.041
2084278,104.704
1635114,83.033
100860,83.651
377913,83.484
1109728,95.764
1640881,104.136
17540,82.45
2341163,101.23
2389201,94.138
874108,107.915
1750756,102.659
872486,93.83
1553950,79.344
1574005,107.271
502474,85.206
1625015,103.557
2395552,102.802
2540751,102.322
1531750,97.302
17711,74.055
360175,100.03
2701563,88.767
2002735,72.41
1683131,103.79
2616896,71.315
2261937,90.521
1775933,87.9
41459,107.195
358168,85.234
1152746,76.23
2446890,74.73
2145388,105.341
1383037,102.188
1176674,91.472
509729,105.944
2661623,87.528
1597326,90.179
2241869,82.745
2241674,78.124
463368,79.431
503155,84.599
441050,97.247
872167,107.816
138157,105.231
393329,97.629
876387,73.566
753829,74.616
160862,106.543
747331,104.431
1060595,109.918
1796628,108.626
207987,86.461
440147,85.153
2635014,87.215
2470661,99.864
261302,94.192
583444,88.623
554848,77.11
166128,73.965
383385,70.415
16413,89.286
1718828,84.646
1125355,75.555
1427737,70.786
2652343,70.622
1458887,101.065
1417675,96.03
1660636,76.832
1742449,72.873
1211826,104.682
356549,103.218
1943214,75.93
864192,84.836
2601016,87.63
1472599,97.239
2172860,73.099
971790,78.347
313526,77.588
665138,94.611
2624354,97.434
1029921,88.957
2059478,102.867
699836,83.107
1567569,86.312
1902954,79.885
68095,70.151
1577178,75.968
1832666,107.183
1312988,79.376
734586,70.398
1917960,97.937
610276,81.208
1473029,72.245
200810,103.135
